LSOA_CODE,PRACTICE_CODE,PRACTICE_NAME.x,NUMBER_OF_PATIENTS,PCN_CODE,PCN_NAME,SUB_ICB_LOCATION_NAME,ICB_CODE,,,,,
E01029438,C81018,DOVE RIVER,19,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000620,M83111,1
E01029440,C81018,DOVE RIVER,5,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000877,M83067,1
E01029443,C81018,DOVE RIVER,512,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000883,M83094,1
E01029444,C81018,DOVE RIVER,429,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000920,M83670,1
E01029449,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000932,M83035,1
E01029454,C81018,DOVE RIVER,154,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000968,M83110,1
E01029455,C81018,DOVE RIVER,65,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000976,M83670,1
E01029456,C81018,DOVE RIVER,55,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001083,M83075,1
E01029457,C81018,DOVE RIVER,38,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001137,M83061,1
E01029458,C81018,DOVE RIVER,99,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001214,M83670,1
E01029463,C81018,DOVE RIVER,723,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001220,M83127,1
E01029464,C81018,DOVE RIVER,433,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001237,M83070,1
E01029465,C81018,DOVE RIVER,724,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001249,M83048,1
E01029466,C81018,DOVE RIVER,238,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001328,M83050,1
E01029467,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001360,M83096,1
E01029471,C81018,DOVE RIVER,3,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001370,M83627,3
E01029473,C81018,DOVE RIVER,133,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001383,M83723,1
E01029787,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001523,M83076,1
E01029852,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001529,M83143,1
E01031017,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001538,M83670,1
E01032897,C81018,DOVE RIVER,2,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001675,M83075,1
E01033532,C81018,DOVE RIVER,127,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001687,M83650,1
E01033533,C81018,DOVE RIVER,55,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001698,M83067,1
E01033534,C81018,DOVE RIVER,42,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001792,M83111,1
E01033537,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001795,M83670,1
E01034650,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001876,M83068,1
EMPTY,C81018,DOVE RIVER,2,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01001911,M83011,1
CLOSED,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01001934,M83074,1
E01009104,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01001935,M83668,1
E01009442,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01001948,M83617,1
E01010112,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002031,Y02867,1
E01010253,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002043,M83045,1
E01010302,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002062,M83013,1
E01010317,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002185,M83670,1
E01010329,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002224,Y02521,1
E01010376,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002289,M83670,1
E01010385,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002323,M83713,1
E01013523,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002397,M83075,1
E01014438,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002398,M83075,1
E01019846,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83670,1
E01019850,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002426,M83670,1
E01025726,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002444,M83006,1
E01029345,M83001,HORSEFAIR PRACTICE,509,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83021,1
E01029346,M83001,HORSEFAIR PRACTICE,333,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83027,1
E01029347,M83001,HORSEFAIR PRACTICE,215,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83038,1
E01029348,M83001,HORSEFAIR PRACTICE,225,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83047,1
E01029349,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83075,5
E01029350,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83090,1
E01029351,M83001,HORSEFAIR PRACTICE,5,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83094,1
E01029352,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83123,2
E01029353,M83001,HORSEFAIR PRACTICE,5,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83126,1
E01029354,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83148,1
E01029356,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83619,1
E01029357,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83625,1
E01029358,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,Y02867,2
E01029359,M83001,HORSEFAIR PRACTICE,10,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002484,M83102,1
E01029362,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002493,M83030,1
E01029365,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002521,M83044,1
E01029367,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002530,M83023,1
E01029368,M83001,HORSEFAIR PRACTICE,302,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002557,Y00078,1
E01029369,M83001,HORSEFAIR PRACTICE,430,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002575,M83057,1
E01029370,M83001,HORSEFAIR PRACTICE,268,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002596,M83670,1
E01029371,M83001,HORSEFAIR PRACTICE,565,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002618,M83067,1
E01029372,M83001,HORSEFAIR PRACTICE,744,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002633,M83021,1
E01029373,M83001,HORSEFAIR PRACTICE,606,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002643,M83670,1
E01029374,M83001,HORSEFAIR PRACTICE,641,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002662,M83625,1
E01029375,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002674,M83670,1
E01029378,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,,M83681,1
E01029379,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002713,M83032,1
E01029380,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002786,M83050,1
E01029381,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002818,M83050,1
E01029383,M83001,HORSEFAIR PRACTICE,16,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002841,M83044,1
E01029386,M83001,HORSEFAIR PRACTICE,6,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002883,M83052,2
E01029387,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002901,M83070,1
E01029388,M83001,HORSEFAIR PRACTICE,8,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002902,M83125,1
E01029389,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002920,M83096,1
E01029390,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002935,M83048,1
E01029391,M83001,HORSEFAIR PRACTICE,5,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002937,M83049,1
E01029393,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002973,M83670,1
E01029394,M83001,HORSEFAIR PRACTICE,4,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01002999,M83681,1
E01029395,M83001,HORSEFAIR PRACTICE,9,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003059,M83641,1
E01029397,M83001,HORSEFAIR PRACTICE,2,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003150,M83062,1
E01029398,M83001,HORSEFAIR PRACTICE,12,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003274,M83627,1
E01029399,M83001,HORSEFAIR PRACTICE,9,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003276,M83670,1
E01029400,M83001,HORSEFAIR PRACTICE,12,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003396,M83050,1
E01029401,M83001,HORSEFAIR PRACTICE,594,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003411,M83071,1
E01029402,M83001,HORSEFAIR PRACTICE,401,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003427,M83044,1
E01029403,M83001,HORSEFAIR PRACTICE,301,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003443,M83050,1
E01029404,M83001,HORSEFAIR PRACTICE,349,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003508,M83075,1
E01029411,M83001,HORSEFAIR PRACTICE,6,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003519,M83681,1
E01029412,M83001,HORSEFAIR PRACTICE,6,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003564,M83070,1
E01029416,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003575,Y02867,1
E01029417,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003594,M83047,1
E01029446,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003646,M83007,1
E01029451,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003651,M83670,1
E01029466,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003662,M83076,1
E01029473,M83001,HORSEFAIR PRACTICE,12,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003683,M83670,1
E01029474,M83001,HORSEFAIR PRACTICE,4,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003720,M83709,1
E01029477,M83001,HORSEFAIR PRACTICE,5,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003751,M83650,1
E01029478,M83001,HORSEFAIR PRACTICE,10,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003826,M83065,1
E01029480,M83001,HORSEFAIR PRACTICE,1338,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003839,M83113,1
E01029482,M83001,HORSEFAIR PRACTICE,1072,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003983,M83670,1
E01029484,M83001,HORSEFAIR PRACTICE,8,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01003990,M83670,1
E01029485,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01004162,M83027,1
E01029486,M83001,HORSEFAIR PRACTICE,3,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01004226,M83012,1
E01029487,M83001,HORSEFAIR PRACTICE,4,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01004247,M83624,1
E01029488,M83001,HORSEFAIR PRACTICE,1,U16318,RUGELEY & GREAT HAYWOOD PCN,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,QNC,,,E01004271,M83052,1
